SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
1945,MS - Orthopaedics,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,2
1946,MD - Psychiatry,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,2
1947,MD - Forensic Medicine/Forensic Medicine & Toxicology,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,5
1948,MD - Forensic Medicine,Haryana,"Kalpana Chawala Govt. Medical College, Karnal, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2017,2
1949,MS - General Surgery,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,18
1950,MD - Psychiatry,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,10
1951,MD - Radiotherapy/ Radiation Oncology,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,6
1952,MD - Radio Diagnosis,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,1
1953,MD - Pharmacology,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,6
1954,MD - Pathology,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,14
1955,MS - Orthopaedics,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,12
1956,MD - Radio Diagnosis/Radiology,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,9
1957,MD/MS - Anatomy,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,4
1958,M.B.B.S.,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,150
1959,MD - Paediatrics,Haryana,"Kalpana Chawala Govt. Medical College, Karnal, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2017,2
1960,MD - Bio-Chemistry,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,9
1961,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,5
1962,MD - General Medicine,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,3
1963,MD - Paediatrics,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,5
1964,"MD - Dermatology , Venereology & Leprosy",Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,1
1965,MD - General Medicine,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,8
1966,MD - Social & Preventive Medicine / Community Medicine,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,10
1967,M.B.B.S.,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,250
1968,MD - Paediatrics,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,15
1969,MD - Respiratory Medicine,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,2
1970,M.B.B.S.,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,100
1971,MD - Microbiology,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,6
1972,MS - ENT,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,5
1973,MD/MS - Ophthalmology,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,10
1974,MD - Respiratory Medicine,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,2
1975,MD - Pharmacology,Haryana,"Kalpana Chawala Govt. Medical College, Karnal, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2017,2
1976,MD - Physiology,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,8
1977,M.B.B.S.,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,200
1978,"MD - Dermatology , Venereology & Leprosy",Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,2
1979,MD - Paediatrics,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,2
1980,MD - General Medicine,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,8
1981,MD- Biochemistry,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,5
1982,MD - Physiology,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,5
1983,MD - Pathology,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,6
1984,MD - Psychiatry,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,3
1985,MD - Ophthalmology,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,2
1986,M.Ch - Plastic Surgery/Plastic & Reconstructive Surgery,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
1987,DM - Critical Care Medicine,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
1988,MD - General Medicine,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,3
1989,MD - Anatomy,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
1990,MS - ENT,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,3
1991,M.Ch - Paediatric Surgery,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,2
1992,MD - Forensic Medicine,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,2
1993,"MD - Dermatology , Venereology & Leprosy",Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,2
1994,MD - Physiology,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
1995,MD - Emergency Medicine,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,4
1996,MS - General Surgery,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,10
1997,M.Ch - Neuro Surgery,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,2
1998,MD - Microbiology,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,4
1999,DM - Cardiology,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,2
2000,MD - Physical Medicine & Rehabilitation,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
2001,MS - Orthopaedics,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,3
2002,MD - Pharmacology,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
2003,MD - Respiratory Medicine,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,3
2004,MS - Obstetrics & Gynaecology,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,3
2005,MD - Radio Diagnosis,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,4
2006,MS - Obstetrics and Gynaecology,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,7
2007,MD - Pathology,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,6
2008,MD - Pathology,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,8
2009,MD - Anaesthesiology,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,10
2010,"MD - Dermatology , Venereology & Leprosy",Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,3
2011,MD - Anatomy,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,6
2012,MD - Emergency Medicine,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,3
2013,MD - Paediatrics,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,4
2014,MD - Anaesthesiology,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,9
2015,M.B.B.S.,Haryana,"Maharishi Markandeshwar College of Medical Sciences & Research, Sadopur","Maharishi Marakandeshwar University (Deemed), Ambala",Private,2023,150
2016,MD - Community Medicine,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,7
2017,M.B.B.S.,Haryana,"Amrita School of Medicine, Faridabad","Amrita Vishwa Vidyapeetham University (Deemed), Coimbatore",Trust,2023,150
2018,M.B.B.S.,Haryana,"Shri Atal Bihari Vajpayee Government Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,,100
2019,MD - Psychiatry,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,3
2020,MD - Paediatrics,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,4
2021,DM - Cardiac-Anaesthesia,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,1
2022,MD - Microbiology,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,2
2023,MS - Ophthalmology,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,2
2024,MD - Community Medicine,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,5
2025,MD - Radiology,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,5
2026,MS - General Surgery,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,8
2027,MS - Otorhinolaryngology,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
2028,MD - Microbiology,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
2029,MD - Pathology,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
2030,MD- Anaesthesia,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,7
2031,MD/MS - Ophthalmology,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
2032,MD - Community Medicine,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,3
2033,MD - Immuno Haematology & Blood Transfusion,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,2
2034,MS - Obstetrics & Gynaecology,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,8
2035,MD - Bio-Chemistry,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,4
2036,MS - Orthopaedics,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,2
2037,MS - Orthopaedics,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,2
2038,MS - Otorhinolaryngology,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,2
2039,MD - Anaesthesiology,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,2
2040,MD - Radio Diagnosis,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,2
2041,MS - Obstetrics & Gynaecology,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,2
2042,MD/MS - Ophthalmology,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,2
2043,MD - General Medicine,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,2
2044,DM - Cardiology,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,2
2045,MS - General Surgery,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,5
2046,MD - Paediatrics,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,5
2047,MD - Microbiology,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,3
2048,MD - Sports Medicine,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,2
2049,M.B.B.S.,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,150
2050,MD - Microbiology,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,3
2051,MD - Radiotherapy/ Radiation Oncology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,2
2052,MD - General Medicine,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,8
2053,MD - Radio Diagnosis/Radiology,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,6
2054,MD - Psychiatry,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,2
2055,MD - Paediatrics,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,4
2056,MS - Obstetrics & Gynaecology,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,4
2057,MS - General Surgery,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,8
2058,MS - ENT,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,2
2059,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,2
2060,MD - Anaesthesiology,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,6
2061,MD - Pharmacology,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,3
2062,MD - Physiology,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,3
2063,MD/MS - Anatomy,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,3
2064,"MD - Dermatology , Venereology & Leprosy",Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,2
2065,MS - Orthopaedics,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,4
2066,MD/MS - Ophthalmology,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,2
2067,MD - Forensic Medicine/Forensic Medicine & Toxicology,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,3
2068,MD - Bio-Chemistry,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,3
2069,MD - Social & Preventive Medicine / Community Medicine,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,3
2070,M.Ch - Neuro Surgery,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,2
2071,M.B.B.S.,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,150
2072,M.B.B.S.,Haryana,"Kalpana Chawala Govt. Medical College, Karnal, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2017,120
2073,DM - Cardiology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,2
2074,M.Ch - Urology/Genito-Urinary Surgery,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,2
2075,DM - Medical Gastroenterology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,2
2076,M.Ch - Neuro Surgery,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,2
2077,M.B.B.S.,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,150
2078,M.B.B.S.,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,150
2079,MD - Bio-Chemistry,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,3
2080,MD - Anaesthesiology,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,9
2081,MD - Forensic Medicine/Forensic Medicine & Toxicology,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2012,4
2082,MD/MS - Ophthalmology,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,3
2083,MD - Physiology,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,2
2084,MD - Pathology,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,8
2085,MD - Forensic Medicine/Forensic Medicine & Toxicology,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,2
2086,MD - Pathology,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2012,6
2087,MD - Social & Preventive Medicine / Community Medicine,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2012,5
2088,MD - Physiology,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2012,4
2089,MD - Bio-Chemistry,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2012,3
2090,MD - Pharmacology,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2012,3
2091,MD/MS - Anatomy,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2012,3
2092,MD - Pharmacology,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,2
2093,MD - Social & Preventive Medicine / Community Medicine,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,2
2094,M.B.B.S.,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,125
2095,MD - Pharmacology,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2010,3
2096,MD/MS - Anatomy,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","ShreeGuru Gobind Singh Tricentenary University, Gurgaon",Trust,2010,2
2097,MD - Pathology,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","ShreeGuru Gobind Singh Tricentenary University, Gurgaon",Trust,2010,5
2098,MD - Bio-Chemistry,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","ShreeGuru Gobind Singh Tricentenary University, Gurgaon",Trust,2010,3
2099,MD - Forensic Medicine/Forensic Medicine & Toxicology,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","ShreeGuru Gobind Singh Tricentenary University, Gurgaon",Trust,2010,2
2100,MD - Social & Preventive Medicine / Community Medicine,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","ShreeGuru Gobind Singh Tricentenary University, Gurgaon",Trust,2010,4
2101,MD - Microbiology,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","ShreeGuru Gobind Singh Tricentenary University, Gurgaon",Trust,2010,2
2102,MD - Physiology,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","ShreeGuru Gobind Singh Tricentenary University, Gurgaon",Trust,2010,2
2103,MD - Psychiatry,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,3
2104,M.B.B.S.,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,120
2105,MS - General Surgery,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,10
2106,MS - Orthopaedics,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,7
2107,MD/MS - Anatomy,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,2
