SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
8045,MD - Radio Diagnosis/Radiology,Telangana,"Gandhi Medical College, Secunderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1954,9
8046,MD - Pathology,Telangana,"Gandhi Medical College, Secunderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1954,10
8047,MD - Paediatrics,Telangana,"Kamineni Institute of Medical Sciences, Narketpally","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,6
8048,MS - ENT,Telangana,"Gandhi Medical College, Secunderabad",Dr. YSR University of Health Sciences,Govt.,1954,10
8049,MD - Paediatrics,Telangana,"Kakatiya Medical College, Warangal","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1959,16
8050,MS - Obstetrics & Gynaecology,Telangana,"Gandhi Medical College, Secunderabad",Dr. YSR University of Health Sciences,Govt.,1954,25
8051,M.B.B.S.,Telangana,"Kakatiya Medical College, Warangal","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1959,250
8052,MD - Pathology,Telangana,"Osmania Medical College, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,1946,30
8053,DM - Cardiology,Telangana,"Kamineni Academy of Medical Sciences & Research Center, Hyderabad","Kaloji Narayana Rao University of Health Sciences, Warangal",Private,2013,2
8054,MD - Pathology,Telangana,"Kamineni Institute of Medical Sciences, Narketpally",Dr. YSR University of Health Sciences,Trust,1999,4
8055,M.Ch - Neuro Surgery,Telangana,"Gandhi Medical College, Secunderabad",Dr. YSR University of Health Sciences,Govt.,1954,4
8056,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Telangana,"S V S Medical College, Mehboobnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,3
8057,MD - Bio-Chemistry,Telangana,"S V S Medical College, Mehboobnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,1999,3
